Modelo,MAE,RMSE,MAPE,R2,MAE_ret,RMSE_ret,R2_ret,Direction_Acc
A - Baseline,0.2496083629172262,0.34770499260727106,1.8327735937764427,0.9932447418228868,0.018403628109863773,0.02462976099578692,-0.07889683342687781,47.50889679715303
B1_attention,0.24238990139835223,0.3412160977972323,1.7856946718041253,0.9934945233478981,0.017880754155931624,0.023954908295281314,-0.020583513932083575,51.779359430604984
B2_conv1d_lstm,0.23891003675142955,0.33849378720411755,1.7758068772310718,0.9935979140197684,0.01769043376186208,0.023832919876773603,-0.010215503681867633,54.982206405693944
B3_bidirectional,0.25881270520115635,0.3616551929763574,1.8893794373811574,0.9926918153886705,0.0189592665264545,0.025201915811318396,-0.1296050786744225,48.754448398576514
B4_lstm_gru,0.2473515877631691,0.34570246072471195,1.8306833132161113,0.9933223286591845,0.018351868339769015,0.024456083207418638,-0.06373470858737673,47.686832740213525
